color,point_index,radius,school_id,starting_x_position,starting_y_position,ending_x_position,ending_y_position,line_x_position,line_y_position
#64bbe3,208,4,sch1,39,307,389,144,395.4,450
#64bbe3,213,4,sch1,94,334,444,290,479.8,450
#64bbe3,217,4,sch1,55,308,405,4,410.3,450
#64bbe3,218,4,sch1,99,368,449,226,469.3,450
#64bbe3,18,4,sch2,174,249,524,99,559.7,450
#64bbe3,27,4,sch2,209,247,559,168,461.5,450
#64bbe3,31,4,sch2,247,204,597,269,499.0,450
#64bbe3,45,4,sch2,214,188,564,328,442.2,450
#64bbe3,51,4,sch2,154,159,504,294,419.4,450
#64bbe3,60,4,sch2,166,180,516,0,567.7,450
#64bbe3,69,4,sch2,249,191,599,264,586.3,450
#64bbe3,75,4,sch2,222,185,572,154,529.5,450
#64bbe3,81,4,sch2,171,214,521,129,639.1,450
#64bbe3,84,4,sch2,191,184,541,273,599.4,450
#64bbe3,87,4,sch2,171,206,521,139,574.4,450
#64bbe3,89,4,sch2,230,179,580,345,504.0,450
#64bbe3,91,4,sch2,158,187,508,113,503.8,450
#64bbe3,108,4,sch2,188,204,538,88,692.9,450
#64bbe3,119,4,sch2,205,213,555,98,618.6,450
#64bbe3,144,4,sch2,229,247,579,237,673.7,450
#64bbe3,157,4,sch2,190,192,540,9,717.0,450
#64bbe3,160,4,sch2,183,212,533,170,735.6,450
#64bbe3,164,4,sch2,185,152,535,59,670.3,450
#64bbe3,181,4,sch2,177,191,527,138,666.2,450
#64bbe3,183,4,sch2,250,156,600,140,677.6,450
#64bbe3,192,4,sch2,166,236,516,324,711.6,450
#64bbe3,197,4,sch2,177,197,527,217,611.0,450
#64bbe3,199,4,sch2,238,151,588,19,639.2,450
#64bbe3,200,4,sch2,208,217,558,117,746.5,450
#64bbe3,205,4,sch2,250,192,600,6,811.7,450
#64bbe3,212,4,sch2,179,214,529,340,714.5,450
#64bbe3,228,4,sch2,175,203,525,104,661.1,450
#64bbe3,232,4,sch2,171,155,521,271,697.6,450
#64bbe3,235,4,sch2,215,183,565,150,739.5,450
#64bbe3,236,4,sch2,180,150,530,180,775.6,450
#64bbe3,241,4,sch2,168,197,518,193,729.9,450
#64bbe3,242,4,sch2,154,202,504,325,824.4,450
#64bbe3,244,4,sch2,161,224,511,321,811.2,450
#64bbe3,249,4,sch2,242,186,592,80,738.8,450
#64bbe3,265,4,sch2,188,187,538,264,825.0,450
#64bbe3,275,4,sch2,156,170,506,248,803.8,450
#64bbe3,288,4,sch2,156,195,506,213,768.5,450
#64bbe3,295,4,sch2,171,215,521,226,751.1,450
#64bbe3,305,4,sch2,152,216,502,252,815.8,450
#64bbe3,306,4,sch2,210,154,560,229,843.3,450
#64bbe3,315,4,sch2,167,189,517,176,914.7,450
#64bbe3,316,4,sch2,181,203,531,131,959.3,450
#64bbe3,325,4,sch2,197,246,547,161,817.5,450
#64bbe3,329,4,sch2,160,214,510,122,826.0,450
#64bbe3,357,4,sch2,223,248,573,200,994.2,450
#64bbe3,372,4,sch2,196,207,546,97,926.1,450
#64bbe3,373,4,sch2,241,242,591,133,868.6,450
#64bbe3,384,4,sch2,220,162,570,98,940.7,450
#64bbe3,413,4,sch2,223,191,573,82,1052.8,450
#64bbe3,418,4,sch2,179,184,529,256,992.6,450
#64bbe3,424,4,sch2,155,223,505,336,993.1,450
#64bbe3,440,4,sch2,201,214,551,231,1018.7,450
#64bbe3,448,4,sch2,182,198,532,8,937.3,450
#64bbe3,449,4,sch2,152,239,502,243,1094.8,450
#64bbe3,455,4,sch2,166,206,516,32,1096.0,450
#64bbe3,457,4,sch2,171,243,521,12,1110.3,450
#64bbe3,466,4,sch2,224,183,574,58,1097.2,450
#64bbe3,469,4,sch2,240,213,590,236,1002.1,450
#64bbe3,470,4,sch2,208,246,558,166,1071.5,450
#64bbe3,9,4,sch3,62,7,412,154,1121.8,450
#64bbe3,14,4,sch3,47,26,397,165,1103.1,450
#64bbe3,20,4,sch3,63,70,413,178,1081.3,450
#64bbe3,29,4,sch3,35,42,385,75,1055.1,450
#64bbe3,42,4,sch3,32,67,382,209,1050.8,450
#64bbe3,51,4,sch3,21,46,371,72,1088.9,450
#64bbe3,56,4,sch3,29,54,379,24,1171.0,450
#64bbe3,57,4,sch3,14,97,364,52,1229.0,450
#64bbe3,60,4,sch3,78,63,428,90,1111.3,450
#64bbe3,70,4,sch3,84,70,434,106,1177.5,450
#64bbe3,71,4,sch3,89,74,439,274,1143.5,450
#64bbe3,78,4,sch3,6,18,356,225,1102.7,450
#64bbe3,79,4,sch3,12,72,362,269,1251.7,450
#64bbe3,81,4,sch3,14,88,364,288,1242.8,450
#64bbe3,82,4,sch3,61,99,411,103,1216.4,450
#64bbe3,85,4,sch3,60,55,410,182,1305.9,450
#64bbe3,88,4,sch3,2,63,352,330,1181.0,450
#64bbe3,89,4,sch3,55,68,405,161,1251.8,450
#64bbe3,91,4,sch3,79,25,429,117,1151.6,450
#64bbe3,95,4,sch3,57,99,407,336,1350.5,450
#64bbe3,104,4,sch3,80,15,430,107,1204.8,450
#64bbe3,120,4,sch3,72,41,422,44,1238.0,450
#64bbe3,122,4,sch3,63,1,413,137,1380.9,450
#64bbe3,129,4,sch3,44,36,394,344,1295.0,450
#64bbe3,130,4,sch3,35,71,385,47,1220.7,450
#64bbe3,131,4,sch3,70,69,420,315,1337.3,450
#64bbe3,132,4,sch3,21,78,371,252,1243.0,450
#64bbe3,136,4,sch3,24,32,374,292,1297.2,450
#64bbe3,137,4,sch3,48,92,398,188,1306.6,450
#64bbe3,138,4,sch3,44,6,394,156,1376.1,450
#64bbe3,139,4,sch3,13,93,363,5,1386.1,450
#64bbe3,146,4,sch3,7,83,357,336,1284.7,450
#64bbe3,147,4,sch3,46,65,396,192,1421.2,450
#64bbe3,154,4,sch3,46,23,396,320,1416.0,450
#64bbe3,157,4,sch3,16,98,366,188,1432.5,450
#64bbe3,160,4,sch3,63,23,413,229,1356.8,450
#64bbe3,164,4,sch3,97,5,447,119,1462.2,450
#64bbe3,165,4,sch3,10,25,360,334,1466.6,450
#64bbe3,167,4,sch3,18,9,368,122,1409.5,450
#64bbe3,179,4,sch3,76,42,426,233,1380.9,450
#64bbe3,184,4,sch3,5,1,355,171,1560.6,450
#64bbe3,192,4,sch3,13,15,363,15,1496.8,450
#64bbe3,198,4,sch3,61,88,411,92,1463.9,450
#64bbe3,203,4,sch3,62,33,412,344,1598.4,450
#64bbe3,204,4,sch3,86,59,436,224,1560.4,450
#64bbe3,205,4,sch3,25,81,375,158,1499.5,450
#64bbe3,206,4,sch3,77,85,427,127,1455.1,450
#64bbe3,207,4,sch3,64,74,414,151,1533.1,450
#64bbe3,209,4,sch3,7,31,357,144,1641.5,450
#64bbe3,211,4,sch3,2,66,352,143,1503.8,450
#64bbe3,216,4,sch3,71,99,421,227,1543.8,450
#64bbe3,217,4,sch3,94,52,444,153,1532.3,450
#64bbe3,230,4,sch3,96,59,446,122,1630.5,450
#64bbe3,234,4,sch3,5,23,355,83,1617.4,450
#64bbe3,241,4,sch3,41,49,391,334,1512.1,450
#64bbe3,246,4,sch3,47,19,397,225,1523.8,450
#64bbe3,248,4,sch3,62,89,412,62,1558.2,450
#64bbe3,249,4,sch3,8,45,358,265,1658.6,450
#64bbe3,255,4,sch3,40,82,390,293,1695.3,450
#64bbe3,257,4,sch3,20,69,370,84,1640.0,450
#64bbe3,260,4,sch3,2,88,352,226,1719.3,450
#64bbe3,261,4,sch3,83,68,433,251,1754.9,450
#64bbe3,264,4,sch3,43,69,393,62,1776.6,450
#64bbe3,266,4,sch3,44,59,394,130,1749.8,450
#64bbe3,267,4,sch3,48,76,398,197,1645.9,450
#64bbe3,269,4,sch3,57,38,407,84,1744.0,450
#64bbe3,271,4,sch3,60,84,410,111,1710.3,450
#64bbe3,277,4,sch3,98,9,448,146,1648.6,450
#64bbe3,279,4,sch3,77,88,427,84,1745.9,450
#64bbe3,280,4,sch3,36,62,386,71,1741.4,450
#64bbe3,283,4,sch3,21,25,371,16,1735.7,450
#64bbe3,284,4,sch3,37,54,387,260,1818.7,450
#64bbe3,287,4,sch3,97,47,447,96,1796.4,450
#64bbe3,289,4,sch3,95,2,445,29,1743.2,450
#64bbe3,295,4,sch3,61,1,411,298,1774.8,450
